Case Number,Number of Triangles,First Triangle 1,First Triangle 2,First Triangle 3,Second Triangle 1,Second Triangle 2 ,Second Triangle 3,Third Triangle 1,Third Triangle 2,Third Triangle 3,Fourth Triangle 1,Fourth Triangle 2,Fourth Triangle 3
0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,10,4,2,0,0,0,0,0,0,0,0,0
2,1,10,22,20,0,0,0,0,0,0,0,0,0
3,2,22,20,4,4,20,2,0,0,0,0,0,0
4,1,12,24,20,0,0,0,0,0,0,0,0,0
5,2,12,24,20,4,10,2,0,0,0,0,0,0
6,2,12,22,24,12,22,10,0,0,0,0,0,0
7,3,4,24,22,24,4,12,4,2,12,0,0,0
8,1,6,12,2,0,0,0,0,0,0,0,0,0
9,2,6,12,10,10,6,4,0,0,0,0,0,0
10,2,6,12,2,22,20,10,0,0,0,0,0,0
11,3,22,6,4,12,20,22,12,22,6,0,0,0
12,2,6,2,20,6,20,24,0,0,0,0,0,0
13,3,24,6,4,20,10,24,24,10,4,0,0,0
14,3,24,6,22,6,22,10,10,2,6,0,0,0
15,2,6,22,24,22,6,4,0,0,0,0,0,0
16,1,18,6,8,0,0,0,0,0,0,0,0,0
17,2,18,6,8,4,10,2,0,0,0,0,0,0
18,2,18,6,8,22,20,10,0,0,0,0,0,0
19,3,18,6,8,4,2,22,22,2,20,0,0,0
20,2,8,6,18,12,24,20,0,0,0,0,0,0
21,3,8,6,18,4,2,10,24,12,20,0,0,0
22,3,8,6,18,10,22,24,24,12,10,0,0,0
23,4,6,18,8,4,24,22,12,2,24,24,2,4
24,2,2,12,18,18,2,8,0,0,0,0,0,0
25,3,12,18,10,10,18,8,8,4,10,0,0,0
26,3,12,2,18,18,2,8,20,22,10,0,0,0
27,4,22,20,4,12,20,4,8,12,4,8,12,18
28,3,8,2,20,18,24,20,8,18,20,0,0,0
29,4,24,10,20,24,4,10,24,8,4,24,18,8
30,4,18,24,2,10,22,24,24,2,10,8,2,18
31,3,4,22,24,8,18,24,24,8,4,0,0,0
32,1,18,24,26,0,0,0,0,0,0,0,0,0
33,2,18,24,26,2,4,10,0,0,0,0,0,0
34,2,18,24,26,22,20,10,0,0,0,0,0,0
35,3,18,24,26,20,22,4,4,20,2,0,0,0
36,2,20,12,18,18,20,26,0,0,0,0,0,0
37,3,18,26,12,12,26,20,2,4,10,0,0,0
38,3,18,12,10,10,18,26,26,22,10,0,0,0
39,4,18,12,26,4,2,22,26,12,22,12,22,2
40,2,18,24,26,6,12,2,0,0,0,0,0,0
41,3,6,12,10,10,6,4,18,24,26,0,0,0
42,3,6,12,2,10,20,22,18,24,26,0,0,0
43,4,6,4,22,18,24,26,22,12,6,12,22,20
44,3,2,20,26,26,2,18,18,2,6,0,0,0
45,4,18,26,20,4,10,6,6,20,10,20,18,6
46,4,6,2,10,22,10,6,6,22,18,18,22,26
47,3,22,6,4,18,22,6,18,22,26,0,0,0
48,2,6,8,24,24,8,26,0,0,0,0,0,0
49,3,6,8,24,24,8,26,4,2,10,0,0,0
50,3,6,8,24,24,8,26,10,22,20,0,0,0
51,4,6,8,24,24,8,26,4,2,22,2,20,22
52,3,20,26,8,6,20,12,20,6,8,0,0,0
53,4,20,26,8,6,20,12,20,6,8,4,2,10
54,4,12,6,26,8,6,26,10,22,12,12,22,26
55,3,8,4,26,26,22,4,6,12,2,0,0,0
56,3,12,26,24,8,2,26,12,2,26,0,0,0
57,4,12,8,24,24,26,8,4,10,12,4,12,8
58,4,22,20,10,2,26,8,2,26,12,26,12,24
59,3,8,4,22,8,22,26,24,20,12,0,0,0
60,2,8,2,20,8,20,26,0,0,0,0,0,0
61,3,8,20,26,8,20,10,4,10,8,0,0,0
62,3,26,2,8,2,10,26,10,22,26,0,0,0
63,2,8,4,26,26,4,22,0,0,0,0,0,0
64,1,26,22,16,0,0,0,0,0,0,0,0,0
65,2,2,4,10,16,26,22,0,0,0,0,0,0
66,2,10,20,16,16,20,26,0,0,0,0,0,0
67,3,2,26,20,26,16,2,2,4,16,0,0,0
68,2,22,16,26,12,24,20,0,0,0,0,0,0
69,3,16,22,26,12,24,20,2,4,10,0,0,0
70,3,10,12,16,24,12,16,24,26,16,0,0,0
71,4,2,12,24,2,4,24,24,26,16,4,24,16
72,2,2,6,12,16,22,26,0,0,0,0,0,0
73,3,6,12,10,10,6,4,16,22,26,0,0,0
74,3,10,20,16,16,20,26,2,6,12,0,0,0
75,4,16,4,20,16,20,26,6,12,4,12,20,4
76,3,2,6,24,24,2,20,16,22,26,0,0,0
77,4,4,6,24,20,4,24,4,10,20,16,22,26
78,4,24,26,10,6,2,24,2,24,10,26,16,10
79,3,24,6,4,24,26,4,26,4,16,0,0,0
80,2,6,8,18,16,26,22,0,0,0,0,0,0
81,3,6,8,18,16,26,22,2,4,10,0,0,0
82,3,10,20,16,16,20,26,6,8,18,0,0,0
83,4,2,20,26,2,4,16,2,16,26,6,8,18
84,3,12,24,20,6,8,18,16,22,26,0,0,0
85,4,12,24,20,6,8,18,16,22,26,2,4,10
86,4,16,10,12,12,16,24,24,16,26,6,8,18
87,3,6,2,12,8,4,16,18,24,26,0,0,0
88,3,18,8,12,12,8,2,16,22,26,0,0,0
89,4,18,12,10,18,10,4,4,8,18,16,22,26
90,4,8,18,12,8,12,2,10,20,16,16,20,26
91,3,12,20,26,26,12,18,8,4,16,0,0,0
92,4,8,20,2,22,26,16,24,8,20,24,8,18
93,3,18,24,26,4,8,16,10,20,22,0,0,0
94,3,2,10,16,16,2,8,18,24,26,0,0,0
95,2,18,24,26,4,8,16,0,0,0,0,0,0
96,2,18,24,22,22,18,16,0,0,0,0,0,0
97,3,18,24,22,22,18,16,2,4,10,0,0,0
98,3,18,10,16,18,10,24,24,10,20,0,0,0
99,4,16,4,20,2,4,20,16,18,24,16,20,24
100,3,18,12,16,12,16,20,20,16,22,0,0,0
101,4,18,12,16,12,16,20,20,16,22,2,4,10
102,2,12,16,18,12,16,10,0,0,0,0,0,0
103,3,12,16,18,12,2,16,2,4,16,0,0,0
104,3,18,24,22,22,16,18,2,6,12,0,0,0
105,4,6,12,10,10,6,4,18,22,24,16,18,22
106,4,6,12,2,10,16,18,18,10,20,20,18,24
107,3,18,6,4,18,4,16,12,24,20,0,0,0
108,4,18,6,20,6,2,20,16,22,18,18,20,22
109,3,6,16,18,6,16,4,10,20,22,0,0,0
110,3,18,16,10,10,18,6,6,2,10,0,0,0
111,2,6,16,18,4,6,16,0,0,0,0,0,0
112,3,6,24,22,6,22,16,6,8,16,0,0,0
113,4,6,24,22,6,22,16,6,8,16,2,4,10
114,4,6,8,24,16,20,24,8,16,24,10,20,16
115,3,6,2,20,20,6,24,16,8,4,0,0,0
116,4,12,20,22,12,22,16,12,16,6,8,6,16
117,3,4,8,16,10,20,22,2,6,12,0,0,0
118,3,12,10,16,12,6,16,6,16,18,0,0,0
119,2,2,6,12,4,8,16,0,0,0,0,0,0
120,4,8,16,24,16,24,22,2,12,8,12,24,8
121,3,12,24,22,22,12,10,4,8,16,0,0,0
122,3,2,10,16,2,16,8,12,20,24,0,0,0
123,2,12,20,24,4,8,16,0,0,0,0,0,0
124,3,2,8,20,8,20,22,22,8,16,0,0,0
125,2,10,22,20,4,8,16,0,0,0,0,0,0
126,2,2,10,16,2,8,16,0,0,0,0,0,0
127,1,4,8,16,0,0,0,0,0,0,0,0,0
128,1,4,8,16,0,0,0,0,0,0,0,0,0
129,2,2,10,16,2,16,8,0,0,0,0,0,0
130,2,4,8,16,10,20,22,0,0,0,0,0,0
131,3,8,2,20,20,8,22,22,8,16,0,0,0
132,2,4,8,16,12,24,20,0,0,0,0,0,0
133,3,2,10,16,2,8,16,12,24,20,0,0,0
134,3,10,12,22,12,24,22,4,8,16,0,0,0
135,4,2,16,22,8,2,16,24,12,22,2,12,22
136,2,2,6,12,4,8,16,0,0,0,0,0,0
137,3,12,10,16,12,16,6,6,16,8,0,0,0
138,3,2,6,12,4,8,16,10,20,22,0,0,0
139,4,20,12,22,22,12,6,6,16,22,6,8,16
140,3,6,2,24,2,20,24,4,8,16,0,0,0
141,4,10,20,6,8,16,10,6,8,10,20,24,6
142,4,6,22,24,6,2,22,2,22,10,4,8,16
143,3,6,22,24,6,22,8,8,16,22,0,0,0
144,2,6,16,18,6,16,4,0,0,0,0,0,0
145,3,10,16,18,6,10,18,2,6,10,0,0,0
146,3,6,16,18,6,16,4,10,20,22,0,0,0
147,4,16,2,22,2,20,22,6,16,18,6,2,16
148,3,6,18,16,6,16,4,12,20,24,0,0,0
149,4,10,16,18,10,18,6,2,6,10,12,24,20
150,4,6,16,18,6,16,4,12,22,24,10,12,22
151,3,2,6,12,24,18,16,16,22,24,0,0,0
152,3,12,16,18,12,16,4,12,4,2,0,0,0
153,2,10,12,18,10,16,18,0,0,0,0,0,0
154,4,12,16,18,12,2,16,2,16,4,10,20,22
155,3,12,16,18,12,16,22,12,22,20,0,0,0
156,4,18,12,16,12,16,2,2,16,4,12,24,20
157,3,10,16,18,10,18,24,10,20,24,0,0,0
158,3,18,24,22,22,18,16,2,4,10,0,0,0
159,2,18,24,22,22,18,16,0,0,0,0,0,0
160,2,18,24,26,4,8,16,0,0,0,0,0,0
161,3,2,10,16,2,16,8,18,24,26,0,0,0
162,3,18,24,26,10,20,22,4,8,16,0,0,0
163,4,2,8,20,20,8,22,8,16,22,18,24,26
164,3,18,12,20,20,18,26,4,8,16,0,0,0
165,4,18,12,20,20,18,26,2,10,16,2,8,16
166,4,18,12,10,10,18,26,10,22,26,4,8,16
167,3,2,12,18,2,8,18,16,22,26,0,0,0
168,3,2,6,12,4,8,16,18,24,26,0,0,0
169,4,10,12,16,6,12,16,6,8,16,18,24,26
170,4,2,6,12,4,8,16,10,20,22,18,24,26
171,3,6,8,18,16,22,26,12,20,24,0,0,0
172,4,4,8,16,2,20,26,2,26,18,2,18,6
173,3,10,20,16,16,20,26,6,8,18,0,0,0
174,3,16,22,26,2,4,10,6,8,18,0,0,0
175,2,6,8,18,16,22,26,0,0,0,0,0,0
176,3,6,4,24,4,24,26,26,4,16,0,0,0
177,4,6,16,26,16,2,10,6,2,16,6,24,26
178,4,10,20,22,4,6,24,24,4,16,16,24,26
179,3,6,20,24,6,20,2,16,22,26,0,0,0
180,4,6,12,26,6,4,16,6,16,26,12,20,26
181,3,10,20,16,16,20,26,2,6,12,0,0,0
182,3,6,12,10,10,6,4,16,22,26,0,0,0
183,2,2,6,12,16,22,26,0,0,0,0,0,0
184,4,4,2,12,4,12,16,12,16,26,12,24,26
185,3,12,16,10,12,16,24,24,16,26,0,0,0
186,3,12,20,24,2,4,10,16,22,26,0,0,0
187,2,16,22,26,12,20,24,0,0,0,0,0,0
188,3,2,20,26,2,26,16,2,16,4,0,0,0
189,2,10,20,16,16,20,26,0,0,0,0,0,0
190,2,2,4,10,16,22,26,0,0,0,0,0,0
191,1,16,22,26,0,0,0,0,0,0,0,0,0
192,2,4,8,22,22,8,26,0,0,0,0,0,0
193,3,2,8,26,2,26,10,10,26,22,0,0,0
194,3,8,20,26,8,20,10,8,10,4,0,0,0
195,2,8,2,20,8,20,26,0,0,0,0,0,0
196,3,8,4,22,22,8,26,12,24,20,0,0,0
197,4,2,8,26,2,10,26,10,26,22,12,20,24
198,4,10,24,26,12,24,10,4,8,26,26,4,10
199,3,2,8,26,2,26,12,12,26,24,0,0,0
200,3,8,4,22,8,22,26,2,6,12,0,0,0
201,4,6,8,10,6,12,10,22,26,8,8,10,22
202,4,2,6,12,8,20,26,8,20,10,10,8,4
203,3,8,20,26,8,20,12,12,8,6,0,0,0
204,4,4,8,22,22,8,26,6,2,20,20,6,24
205,3,10,20,22,6,8,24,24,8,26,0,0,0
206,3,6,8,24,24,8,26,2,4,10,0,0,0
207,2,6,8,24,24,8,26,0,0,0,0,0,0
208,3,6,4,22,22,6,18,18,22,24,0,0,0
209,4,10,2,6,10,6,18,10,18,26,10,22,26
210,4,26,4,10,10,20,26,6,18,4,4,18,26
211,3,2,20,26,2,26,6,6,26,18,0,0,0
212,4,4,6,22,6,22,18,18,22,26,12,20,24
213,3,10,20,22,18,24,26,2,6,12,0,0,0
214,3,6,12,10,10,6,4,18,24,26,0,0,0
215,2,18,24,26,2,6,12,0,0,0,0,0,0
216,4,18,2,4,2,12,18,4,22,26,26,18,4
217,3,10,12,18,10,18,22,22,18,26,0,0,0
218,3,20,12,26,12,26,18,2,4,10,0,0,0
219,2,12,20,26,26,12,18,0,0,0,0,0,0
220,3,2,4,20,20,4,22,18,24,26,0,0,0
221,2,18,24,26,10,20,22,0,0,0,0,0,0
222,2,18,24,26,2,4,10,0,0,0,0,0,0
223,1,18,24,26,0,0,0,0,0,0,0,0,0
224,3,4,22,24,24,4,8,8,18,24,0,0,0
225,4,22,8,18,18,24,22,2,10,8,10,22,8
226,4,18,24,20,18,20,10,18,10,4,18,4,8
227,3,2,8,20,20,8,24,24,8,18,0,0,0
228,4,18,20,22,12,20,18,8,4,22,22,8,18
229,3,12,2,18,18,2,8,10,20,22,0,0,0
230,3,10,12,18,18,10,4,4,18,8,0,0,0
231,2,12,2,18,18,2,8,0,0,0,0,0,0
232,4,4,22,24,24,4,18,18,4,8,2,6,12
233,3,12,24,22,22,12,10,6,8,18,0,0,0
234,3,6,8,18,12,20,24,2,4,10,0,0,0
235,2,6,8,18,12,20,24,0,0,0,0,0,0
236,3,4,2,20,20,4,22,6,8,18,0,0,0
237,2,10,20,22,6,8,18,0,0,0,0,0,0
238,2,2,4,10,6,8,18,0,0,0,0,0,0
239,1,6,8,18,0,0,0,0,0,0,0,0,0
240,2,6,22,24,6,22,4,0,0,0,0,0,0
241,3,6,24,22,2,6,22,2,22,10,0,0,0
242,3,6,24,4,4,24,20,20,4,10,0,0,0
243,2,6,2,20,20,6,24,0,0,0,0,0,0
244,3,6,22,4,6,22,12,12,22,20,0,0,0
245,2,2,6,12,10,22,20,0,0,0,0,0,0
246,2,6,12,10,10,6,4,0,0,0,0,0,0
247,1,2,6,12,0,0,0,0,0,0,0,0,0
248,3,24,4,22,4,24,12,12,4,2,0,0,0
249,2,12,24,22,22,12,10,0,0,0,0,0,0
250,2,12,20,24,2,4,10,0,0,0,0,0,0
251,1,12,20,24,0,0,0,0,0,0,0,0,0
252,2,4,2,20,20,4,22,0,0,0,0,0,0
253,1,10,20,22,0,0,0,0,0,0,0,0,0
254,1,2,4,10,0,0,0,0,0,0,0,0,0
255,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
