,yr,PID,step,dur,race,gend
0,2018.0,1.0,1999321.0,155.0,1.0,1.0
1,2018.0,2.0,544924.0,76.0,2.0,2.0
2,2018.0,3.0,1202746.0,132.0,3.0,2.0
3,2018.0,4.0,1867109.0,160.0,1.0,2.0
4,2018.0,5.0,1933529.0,161.0,1.0,2.0
5,2018.0,6.0,1397631.0,147.0,1.0,2.0
6,2018.0,7.0,21687.0,3.0,2.0,2.0
7,2018.0,8.0,1079971.0,156.0,2.0,2.0
8,2018.0,9.0,2387738.0,160.0,1.0,1.0
9,2018.0,10.0,1046977.0,118.0,1.0,1.0
10,2018.0,11.0,770907.0,67.0,1.0,1.0
11,2018.0,12.0,1304038.0,135.0,2.0,1.0
12,2018.0,13.0,2067632.0,153.0,2.0,1.0
13,2018.0,14.0,1635475.0,158.0,2.0,2.0
14,2018.0,15.0,1808768.0,161.0,2.0,2.0
15,2018.0,16.0,341633.0,49.0,1.0,1.0
16,2018.0,19.0,1304214.0,131.0,1.0,2.0
17,2018.0,20.0,2116427.0,160.0,1.0,2.0
18,2018.0,21.0,1142549.0,94.0,2.0,1.0
19,2018.0,22.0,1458933.0,150.0,2.0,2.0
20,2018.0,23.0,1219116.0,159.0,2.0,2.0
21,2018.0,24.0,1199296.0,159.0,1.0,2.0
22,2018.0,25.0,670183.0,65.0,3.0,2.0
23,2018.0,26.0,1024620.0,103.0,2.0,2.0
24,2018.0,27.0,421082.0,49.0,1.0,1.0
25,2018.0,28.0,1908395.0,157.0,2.0,1.0
26,2018.0,29.0,1066086.0,97.0,1.0,2.0
27,2018.0,30.0,1918385.0,153.0,2.0,2.0
28,2018.0,31.0,1226905.0,161.0,1.0,2.0
29,2018.0,32.0,1397594.0,146.0,1.0,2.0
30,2018.0,33.0,1343971.0,146.0,1.0,2.0
31,2018.0,34.0,960174.0,113.0,1.0,2.0
32,2018.0,35.0,1948305.0,160.0,2.0,2.0
33,2018.0,36.0,1387398.0,152.0,1.0,2.0
34,2018.0,37.0,1789886.0,159.0,1.0,2.0
35,2018.0,38.0,1552979.0,140.0,1.0,1.0
36,2018.0,39.0,1591255.0,160.0,1.0,1.0
37,2018.0,40.0,788926.0,116.0,1.0,2.0
38,2018.0,42.0,1023139.0,156.0,1.0,2.0
39,2018.0,43.0,1398708.0,153.0,1.0,2.0
40,2018.0,44.0,1698805.0,151.0,3.0,2.0
41,2018.0,45.0,2043514.0,161.0,1.0,1.0
